Last Name,First Name,Position,Overall,Salary,Team,Year,Projected Salary,Difference,Standard Difference,Percent Difference
Looney,Joe,G,64.0,837.5,DAL,2016.0,722.303225806,115.196774194,-0.345933159138,-0.159485338121
Dunbar,Lance,RB,76.0,1250.0,DAL,2016.0,1116.00728889,133.992711111,-0.166559183868,-0.120064369153
Crawford,Jack,DE,64.0,1100.0,DAL,2016.0,802.042909091,297.957090909,-0.305892341799,-0.371497693617
Durant,Justin,ILB,77.0,965.0,DAL,2016.0,2171.8645,-1206.8645,0.649570005073,0.555681305164
Vernon,Olivier,DE,91.0,17000.0,NYG,2016.0,10218.7707692,6781.22923077,-1.78775082672,-0.663605181475
Jenkins,Janoris,CB,85.0,12500.0,NYG,2016.0,5082.85457143,7417.14542857,-1.94436084771,-1.45924801199
Harrison,Damon,DT,84.0,9250.0,NYG,2016.0,5449.79763636,3800.20236364,-1.05686759161,-0.697310729169
Robinson,Keenan,ILB,75.0,2600.0,NYG,2016.0,1802.63015,797.36985,-0.496716544145,-0.442336909765
Daniels,B.J.,WR,57.0,645.0,NYG,2016.0,811.5,-166.5,0.333628313314,0.205175600739
Johnson,Josh,QB,65.0,885.0,NYG,2016.0,1069.87844828,-184.878448276,0.223944053069,0.172803226922
Sheppard,Kelvin,ILB,68.0,840.0,NYG,2016.0,1082.54176471,-242.541764706,0.1824203168,0.224048413293
Rainey,Bobby,RB,73.0,840.0,NYG,2016.0,853.40445283,-13.4044528302,0.0330772935326,0.0157070340865
Stingily,Byron,RT,69.0,780.0,NYG,2016.0,1242.90491304,-462.904913043,0.424940223422,0.372437913943
Seymour,Ryan,G,68.0,600.0,NYG,2016.0,939.257704545,-339.257704545,0.600880236243,0.361197680789
Brooks,Brandon,G,80.0,8000.0,PHI,2016.0,3858.30815,4141.69185,-1.45792131722,-1.07344765866
Daniel,Chase,QB,71.0,7000.0,PHI,2016.0,2738.90577419,4261.09422581,-1.25043947893,-1.55576517672
Bradham,Nigel,OLB,76.0,3500.0,PHI,2016.0,2591.08423529,908.915764706,-0.49630910209,-0.350785880415
Brooks,Ron,CB,68.0,1833.333,PHI,2016.0,811.621716418,1021.71128358,-2.31271114009,-1.25885158432
Carroll,Nolan,CB,76.0,2360.0,PHI,2016.0,3044.83584444,-684.835844444,0.259537730123,0.224917164482
Wisniewski,Stefen,C,79.0,1510.0,PHI,2016.0,3342.7219,-1832.7219,0.608128069329,0.548272322624
