Last Name,First Name,Position,Average Salary,Team
Shipley,Jordan,WR,636687,CIN
Boling,Clint,G,628112,CIN
Ghee,Brandon,CB,610775,CIN
Sims,Pat,DT,609250,CIN
Harris,Clark,LS,600000,CIN
Jones,Adam-Pacman,CB,592500,CIN
Jones,Adam-Pacman,CB,592500,CIN
Caldwell,Andre,WR,576500,CIN
Sands,Robert,S,562500,CIN
Muckelroy,Roddrick,ILB,553394,CIN
McGlynn,Mike,G,546750,CIN
Collins,Anthony,LT,543875,CIN
Whalen,Ryan,WR,541279,CIN
Huber,Kevin,P,486250,CIN
Coffman,Chase,TE,480000,CIN
Sanzenbacher,Dane,WR,468333,CIN
Stephens,Reggie,C,460348,CIN
Pressley,Chris,FB,460000,CIN
Scott,Bernard,RB,456878,CIN
Rey,Vincent,OLB,436667,CIN
Binns,Armon,WR,415000,CIN
Miles,Jeromy,S,405000,CIN
Hudson,Otis,G,372500,CIN
Mitchell,Andrew,T,330000,CIN
Jennings,Kelly,CB,200000,CIN
Thomas,Joe,LT,11500000,CLE
Haden,Joe,CB,8011348,CLE
Steinbach,Eric,G,7071429,CLE
Rubin,Ahtyba,DT,6625000,CLE
Cribbs,Joshua,WR,5165333,CLE
Brown,Sheldon,CB,5083333,CLE
Jackson,D'Qwell,ILB,4750000,CLE
Fujita,Scott,LB,4666667,CLE
Gocong,Chris,LB,4200000,CLE
Watson,Benjamin,TE,4000000,CLE
Patterson,Dimitri,CB,3600000,CLE
Pashos,Tony,RT,3418333,CLE
Dawson,Phil,K,3250000,CLE
Wallace,Seneca,QB,3066667,CLE
Mack,Alex,C,2920000,CLE
Moore,Evan,TE,2833333,CLE
Jackson,Brandon,RB,2250000,CLE
Taylor,Phil,DE,2023313,CLE
Young,Usama,S,1966667,CLE
Adams,Mike,S,1366667,CLE
Sheard,Jabaal,OLB,1272563,CLE
Ward,T.J.,S,1272000,CLE
McCoy,Colt,QB,1240000,CLE
Hodges,Reggie,P,978333,CLE
Massaquoi,Mohamed,WR,908926,CLE
Little,Greg,WR,831875,CLE
Lauvao,Shawn,G,825000,CLE
Ventrone,Raymond,S,750000,CLE
Hardesty,Montario,RB,711250,CLE
Smith,Alex,TE,685000,CLE
Cameron,Jordan,TE,629350,CLE
Marecic,Owen,FB,612000,CLE
Pinkston,Jason,G,570000,CLE
Maiava,Kaluka,ILB,566250,CLE
Skrine,Buster,CB,560500,CLE
Benard,Marcus,OLB,525000,CLE
Hagg,Eric,S,520100,CLE
Mitchell,Carlton,WR,475750,CLE
Cochart,Colin,TE,465000,CLE
Spears,Quinton,OLB,456333,CLE
Hillis,Peyton,RB,438700,CLE
Vallos,Steve,C,427813,CLE
Norwood,Jordan,WR,405000,CLE
Stephens,Emmanuel,DE,395000,CLE
Mcgee,Richmond,P,382500,CLE
Geathers,Clifton,DE,52110,CLE
Roethlisberger,Ben,QB,14664417,PIT
Woodley,LaMarr,OLB,10250000,PIT
Polamalu,Troy,S,9866667,PIT
Timmons,Lawrence,ILB,9559150,PIT
Harrison,James,OLB,8625000,PIT
Hampton,Casey,DT,7100000,PIT
Taylor,Ike,CB,7000000,PIT
Miller,Heath,TE,6750000,PIT
Colon,Willie,G,5800000,PIT
Ward,Hines,WR,4970000,PIT
Smith,Aaron,DE,4900000,PIT
Kemoeatu,Chris,G,4000000,PIT
Keisel,Brett,DE,3900000,PIT
Clark,Ryan,S,3500000,PIT
Foote,Larry,ILB,3100000,PIT
Pouncey,Maurkice,C,2961450,PIT
McFadden,Bryant,CB,2500000,PIT
RandleEl,Antwaan,WR,2333333,PIT
Mendenhall,Rashard,RB,2201000,PIT
Suisham,Shaun,K,2116667,PIT
Hood,Evander,DE,1774000,PIT
Leftwich,Byron,QB,1750000,PIT
Heyward,Cameron,DE,1676257,PIT
Allen,Will,S,1498333,PIT
Scott,Jonathan,LT,1300000,PIT
Battle,Arnaz,WR,1300000,PIT
Dixon,Dennis,QB,1200000,PIT
Hills,Tony,LT,1200000,PIT
Worilds,Jason,OLB,956250,PIT
Batch,Charlie,QB,935000,PIT
Cotchery,Jerricho,WR,860000,PIT
Moore,Mewelde,RB,860000,PIT
Warren,Greg,LS,855000,PIT
Starks,Max,LT,810000,PIT
Hoke,Chris,T,810000,PIT
Gilbert,Marcus,RT,806854,PIT
Pope,Leonard,TE,785000,PIT
Gay,William,CB,735000,PIT
Essex,Trai,T,685000,PIT
McCrae,Terrence,WR,682000,PIT
